"ADMIN1NAME","ADMIN2NAME","POP","YEAR"
"ADIS ABEBA","NEFAS SILK-LAFTO",335391,2001
"ADIS ABEBA","YEKA",268845,2001
"AFAR","ZONE 1",377579,2001
"AFAR","ZONE 2",263538,2001
"AFAR","ZONE 3",169096,2001
"AFAR","ZONE 4",178437,2001
"AFAR","ZONE 5",230643,2001
"AMARA","ARGOBA SPECIAL ZONE",33453,2001
"AMARA","AWI-ZONE",912007,2001
"AMARA","BAHIR DAR SPECIAL ZONE",157699,2001
"AMARA","EAST GOJJAM",2004000,2001
"AMARA","NORTH GONDAR",2601799,2001
"AMARA","NORTH SHEWA",1795691,2001
"AMARA","NORTH WELLO",1433177,2001
"AMARA","OROMIYA",459142,2001
"AMARA","SOUTH GONDAR",1988646,2001
"AMARA","SOUTH WELLO",2446406,2001
"AMARA","WAGHEMIRA",380319,2001
"AMARA","WEST GOJJAM",2043978,2001
"BINSHANGUL GUMUZ","ASOSSA",255022,2001
"BINSHANGUL GUMUZ","KEMASHI",148834,2001
"BINSHANGUL GUMUZ","METEKEL",225207,2001
"DIR? DAWA","DIR? DAWA",293434,2001
"DIR? DAWA","DIR? DAWA TOWN",15855,2001
"GAMB?LA HIZBOCH","AGNEWAK",82065,2001
"GAMB?LA HIZBOCH","MEZHENGER",83825,2001
"GAMB?LA HIZBOCH","NUWER",89970,2001
"HARERI HIZB","HARERI HIZB",164728,2001
"OROMIYA","ADAMA SPECIAL ZONE",195285,2001
"OROMIYA","ARSI",2361687,2001
"OROMIYA","BALE",1143395,2001
"OROMIYA","BORENA",807813,2001
"OROMIYA","BURAYU SPECIAL ZONE",53913,2001
"OROMIYA","EAST HARARGE",2391464,2001
"OROMIYA","EAST SHEWA",1208172,2001
"OROMIYA","EAST WELLEGA",1072555,2001
"OROMIYA","GUJI",1117271,2001
"OROMIYA","HORO GUDRU WELEGA",515641,2001
"OROMIYA","ILU ABA BORA",1099117,2001
"OROMIYA","JIMA SPECIAL ZONE",110436,2001
"OROMIYA","JIMMA",2247732,2001
"OROMIYA","KELEM WELEGA",695002,2001
"OROMIYA","NORTH SHEWA",1357508,2001
"OROMIYA","SOUTH WEST SHEWA",995621,2001
"OROMIYA","WEST ARSI",1668072,2001
"OROMIYA","WEST HARARGE",1638155,2001
"OROMIYA","WEST SHEWA",1846033,2001
"OROMIYA","WEST WELLEGA",1209980,2001
"SUMAL?","AFDER",457685,2001
"SUMAL?","DEGEHABUR",390693,2001
"SUMAL?","FIK",301446,2001
"SUMAL?","GODE",377741,2001
"SUMAL?","JIJIGA",868927,2001
"SUMAL?","KORAHE",289340,2001
"SUMAL?","LIBEN",506572,2001
"SUMAL?","SHINILE",403811,2001
"SUMAL?","WARDER",317306,2001
"TIGRAY","CENTRAL TIGRAY",1150380,2001
"TIGRAY","EASTERN TIGRAY",714479,2001
"TIGRAY","MEKELE SPECIAL",155981,2001
"TIGRAY","NORTH WESTERN TIGRAY",671515,2001
"TIGRAY","SOUTHERN TIGRAY",949468,2001
"TIGRAY","WESTERN TIGRAY",292088,2001
"YEDEBUB BIH?ROCH BIH?RESEBOCH NA HIZBOCH","BENCH MAJI",497919,2001
"YEDEBUB BIH?ROCH BIH?RESEBOCH NA HIZBOCH","DAWURO",513842,2001
"YEDEBUB BIH?ROCH BIH?RESEBOCH NA HIZBOCH","GAMO GOFA",1393295,2001
"YEDEBUB BIH?ROCH BIH?RESEBOCH NA HIZBOCH","GEDEO",735299,2001
"YEDEBUB BIH?ROCH BIH?RESEBOCH NA HIZBOCH","GURAGE",1272989,2001
"YEDEBUB BIH?ROCH BIH?RESEBOCH NA HIZBOCH","HADIYA",1141716,2001
"YEDEBUB BIH?ROCH BIH?RESEBOCH NA HIZBOCH","HAWASSA CITY ADMINISTRATION-ZONE",207150,2001
"YEDEBUB BIH?ROCH BIH?RESEBOCH NA HIZBOCH","KEFFA",760651,2001
"YEDEBUB BIH?ROCH BIH?RESEBOCH NA HIZBOCH","KEMBATA TIMBARO",641362,2001
"YEDEBUB BIH?ROCH BIH?RESEBOCH NA HIZBOCH","SHEKA",172359,2001
"YEDEBUB BIH?ROCH BIH?RESEBOCH NA HIZBOCH","SIDAMA",2523550,2001
"YEDEBUB BIH?ROCH BIH?RESEBOCH NA HIZBOCH","SILTI",884300,2001
"YEDEBUB BIH?ROCH BIH?RESEBOCH NA HIZBOCH","SOUTH OMO",463629,2001
"YEDEBUB BIH?ROCH BIH?RESEBOCH NA HIZBOCH","WOLAYITA",1398144,2001
"YEDEBUB BIH?ROCH BIH?RESEBOCH NA HIZBOCH","YEM SPECIAL WEREDA",538827,2001
"YEDEBUB BIH?ROCH BIH?RESEBOCH NA HIZBOCH","YEM SPECIAL ZONE",66235,2001
"ADIS ABEBA","ADDIS KETEMA",264545,2002
"ADIS ABEBA","AKAKI KALITI",151822,2002
"ADIS ABEBA","ARADA",245205,2002
"ADIS ABEBA","BOLE",247093,2002
"ADIS ABEBA","GULELE",278142,2002
"ADIS ABEBA","KIRKOS",228932,2002
"ADIS ABEBA","KOLFE KERANIYO",333695,2002
"ADIS ABEBA","LIDETA",209117,2002
"ADIS ABEBA","NEFAS SILK-LAFTO",335924,2002
"ADIS ABEBA","YEKA",283909,2002
"AFAR","ZONE 1",386243,2002
"AFAR","ZONE 2",279930,2002
"AFAR","ZONE 3",175455,2002
"AFAR","ZONE 4",190313,2002
"AFAR","ZONE 5",224461,2002
"AMARA","ARGOBA SPECIAL ZONE",34097,2002
"AMARA","AWI-ZONE",934211,2002
"AMARA","BAHIR DAR SPECIAL ZONE",169023,2002
"AMARA","EAST GOJJAM",2051921,2002
"AMARA","NORTH GONDAR",2683378,2002
"AMARA","NORTH SHEWA",1823216,2002
"AMARA","NORTH WELLO",1460715,2002
"AMARA","OROMIYA",464093,2002
"AMARA","SOUTH GONDAR",2021880,2002
"AMARA","SOUTH WELLO",2485905,2002
"AMARA","WAGHEMIRA",392173,2002
"AMARA","WEST GOJJAM",2075397,2002
"BINSHANGUL GUMUZ","ASOSSA",266579,2002
"BINSHANGUL GUMUZ","KEMASHI",157415,2002
"BINSHANGUL GUMUZ","METEKEL",235778,2002
