"Year","Region","Zone","Category","Number.of.holders","Area.in.hectare","Production.in.quintal","Yqth"
"2008","Amhara","North Shewa","Coffee",54062,695.68,1495.71,2.15
"2009","Amhara","North Shewa","Coffee",50152,534.78,1149.78,2.15
"2011","Amhara","North Shewa","Coffee",44181,702.44,1538.35,2.19
"2012","Amhara","North Shewa","Coffee",48520,0,0,0
"2013","Amhara","North Shewa","Coffee",49456,659.75,517.72,0.78
"2014","Amhara","North Shewa","Coffee",49869,514.18,1152.27,2.24
"2015","Amhara","North Shewa","Coffee",52280,551.21,2128.74,3.86
"2016","Amhara","North Shewa","Coffee",47274,523.43,1496.32,2.86
"2006","Oromiya","North Shewa","Coffee",3752,69.4,562.14,8.1
"2008","Oromiya","North Shewa","Coffee",4487,9.56,59.77,6.25
"2012","Oromiya","North Shewa","Coffee",43399,0,0,0
"2013","Oromiya","North Shewa","Coffee",4224,6.39,0,0
"2014","Oromiya","North Shewa","Coffee",6080,0,0,0
"2015","Oromiya","North Shewa","Coffee",7541,47.83,0,0
"2016","Oromiya","North Shewa","Coffee",4344,32.2,174.19,5.41
"2006","Tigray","North Western Tigray","Coffee",418,9.19,0,0
"2007","Tigray","North Western Tigray","Coffee",961,0,0,0
"2005","Amhara","North Wollo","Coffee",26658,0,0,0
"2006","Amhara","North Wollo","Coffee",30078,540.47,2594.29,4.8
"2007","Amhara","North Wollo","Coffee",25872,0,0,0
"2008","Amhara","North Wollo","Coffee",21597,403.44,1936.5,4.8
"2009","Amhara","North Wollo","Coffee",18334,310.09,1488.44,4.8
"2011","Amhara","North Wollo","Coffee",32291,818.18,4009.1,4.9
"2012","Amhara","North Wollo","Coffee",42875,585.55,2869.19,4.9
"2013","Amhara","North Wollo","Coffee",42217,454.52,1889.42,4.61
"2014","Amhara","North Wollo","Coffee",37694,424.75,2304.47,5.43
"2015","Amhara","North Wollo","Coffee",48293,581.6,3310.22,5.69
"2016","Amhara","North Wollo","Coffee",39878,387.8,1329.82,3.43
"2005","Amhara","Oromiya","Coffee",13082,423,917,2.17
"2006","Amhara","Oromiya","Coffee",9190,251.09,903.92,3.6
"2007","Amhara","Oromiya","Coffee",9015,264.92,1088.83,4.11
"2008","Amhara","Oromiya","Coffee",11329,466.01,1658.98,3.56
"2009","Amhara","Oromiya","Coffee",11275,295.5,1051.97,3.56
"2011","Amhara","Oromiya","Coffee",15176,1177.12,4272.94,3.63
"2012","Amhara","Oromiya","Coffee",17974,742.58,2695.56,3.63
"2013","Amhara","Oromiya","Coffee",18236,937.71,936.27,1
"2014","Amhara","Oromiya","Coffee",17071,513.54,2104.14,4.1
"2015","Amhara","Oromiya","Coffee",15624,499.91,0,0
"2016","Amhara","Oromiya","Coffee",19785,828.74,2491.11,3.01
"2008","Benishangul Gumuz","Pawe ","Coffee",132,0,0,0
"2009","Benishangul Gumuz","Pawe ","Coffee",94,0.24,1.17,4.88
"2011","Oromiya","Qeleme Wellega","Coffee",115619,33872.68,213059.18,6.29
"2012","Oromiya","Qeleme Wellega","Coffee",144513,47177.62,296747.24,6.29
"2013","Oromiya","Qeleme Wellega","Coffee",138389,35763.28,86456.26,2.42
"2014","Oromiya","Qeleme Wellega","Coffee",136899,39772.28,195725.18,4.92
"2015","Oromiya","Qeleme Wellega","Coffee",145694,47018.25,279269.52,5.94
"2016","Oromiya","Qeleme Wellega","Coffee",168293,43206.5,184382.05,4.27
"2013","SNNP","Segen","Coffee",39783,1682.09,32406.61,19.27
"2014","SNNP","Segen","Coffee",40771,2039.75,40717.3,19.96
"2015","SNNP","Segen","Coffee",53074,2877.84,31498.72,10.95
"2016","SNNP","Segen","Coffee",53948,3369.17,29965.85,8.89
"2008","SNNP","Sheka","Coffee",34453,9399.9,72097.27,7.67
"2005","SNNP","SHEKA","Coffee",20350,5612,38245,6.81
"2006","SNNP","SHEKA","Coffee",22184,6512.29,55354.46,8.5
"2007","SNNP","SHEKA","Coffee",23832,5974.84,56163.54,9.4
"2011","SNNP","SHEKA","Coffee",35589,11488.96,103400.6,9
"2012","SNNP","SHEKA","Coffee",38018,12246.49,110218.37,9
"2013","SNNP","SHEKA","Coffee",42842,10073.74,102374.38,10.16
"2014","SNNP","SHEKA","Coffee",47297,15107.16,138440.34,9.16
"2015","SNNP","SHEKA","Coffee",47044,15218.08,154899.05,10.18
"2016","SNNP","SHEKA","Coffee",62001,23360.56,276772.17,11.85
"2005","Somali","Shinile","Coffee",236,6,64,10.81
"2006","Somali","Shinile","Coffee",320,10.42,0,0
"2007","Somali","Shinile","Coffee",248,4.42,0,0
"2005","SNNP","Sidama","Coffee",273482,21495,117042,5.45
"2006","SNNP","Sidama","Coffee",296045,27944.45,162077.83,5.8
"2007","SNNP","Sidama","Coffee",346063,27395.16,205463.91,7.5
"2008","SNNP","Sidama","Coffee",466053,39493.39,234195.77,5.93
"2011","SNNP","Sidama","Coffee",550769,44929.7,430426.1,9.58
"2012","SNNP","Sidama","Coffee",544420,39802.69,381309.81,9.58
"2013","SNNP","Sidama","Coffee",653921,47915.78,686128.63,14.32
"2014","SNNP","Sidama","Coffee",907210,65656.91,633838.82,9.65
"2015","SNNP","Sidama","Coffee",863460,60359.27,471731.79,7.82
"2016","SNNP","Sidama","Coffee",993012,71193.02,460499.48,6.47
"2005","SNNP","Siliti","Coffee",38920,320,1377,4.3
"2006","SNNP","Siliti","Coffee",41246,433.28,0,0
"2007","SNNP","Siliti","Coffee",47783,371.38,0,0
"2008","SNNP","Siliti","Coffee",44216,379.41,1631.45,4.3
"2009","SNNP","Siliti","Coffee",37890,428.73,1843.53,4.3
"2011","SNNP","Siliti","Coffee",52079,409.67,2068.83,5.05
"2012","SNNP","Siliti","Coffee",48337,547.73,2766.02,5.05
"2013","SNNP","Siliti","Coffee",46400,447.33,0,0
"2014","SNNP","Siliti","Coffee",43994,391.09,2087.33,5.34
"2015","SNNP","Siliti","Coffee",39931,293.17,1644.32,5.61
"2016","SNNP","Siliti","Coffee",41002,427.96,1843.03,4.31
"2005","Amhara","South Gonder","Coffee",10063,91,63,0.69
"2006","Amhara","South Gonder","Coffee",12384,80.04,160.09,2
"2007","Amhara","South Gonder","Coffee",13310,128.96,331.43,2.57
"2012","Amhara","South Gonder","Coffee",8760,0,0,0
"2013","Amhara","South Gonder","Coffee",6981,0,0,0
"2014","Amhara","South Gonder","Coffee",7462,0,0,0
"2015","Amhara","South Gonder","Coffee",6009,37.03,0,0
"2005","SNNP","South Omo","Coffee",36933,3381,18273,5.41
"2006","SNNP","South Omo","Coffee",38147,2880.81,10947.1,3.8
"2007","SNNP","South Omo","Coffee",36701,2747.47,11704.21,4.26
"2008","SNNP","South Omo","Coffee",43123,3703.08,17996.95,4.86
"2011","SNNP","South Omo","Coffee",38530,2647.38,15090.09,5.7
"2012","SNNP","South Omo","Coffee",38184,2768.87,15782.56,5.7
"2013","SNNP","South Omo","Coffee",41677,3638.75,61207.86,16.82
"2014","SNNP","South Omo","Coffee",47022,3238.02,21798.21,6.73
"2015","SNNP","South Omo","Coffee",37497,2020.99,12521.5,6.2
"2016","SNNP","South Omo","Coffee",67180,5039.47,29587.59,5.87
"2005","Tigray","South Tigray","Coffee",1737,0,0,0
"2006","Tigray","South Tigray","Coffee",951,1.98,0,0
"2007","Tigray","South Tigray","Coffee",1611,0,0,0
"2009","Tigray","South Tigray","Coffee",8472,0,0,0
"2011","Tigray","South Tigray","Coffee",5894,0,0,0
"2012","Tigray","South Tigray","Coffee",10272,0,0,0
"2013","Tigray","South Tigray","Coffee",4363,0,0,0
"2014","Tigray","South Tigray","Coffee",5970,49.01,0,0
"2015","Tigray","South Tigray","Coffee",4008,24.99,0,0
"2016","Tigray","South Tigray","Coffee",4972,0,0,0
"2005","Oromiya","South West Shewa","Coffee",16921,154,809,5.26
"2006","Oromiya","South West Shewa","Coffee",23041,3227.1,22589.69,7
"2008","Oromiya","South West Shewa","Coffee",25323,271.05,1523.31,5.62
"2011","Oromiya","South West Shewa","Coffee",20165,151.82,871.43,5.74
"2012","Oromiya","South West Shewa","Coffee",27575,282.81,1623.3,5.74
"2013","Oromiya","South West Shewa","Coffee",34360,342.54,0,0
"2014","Oromiya","South West Shewa","Coffee",35651,284.93,0,0
"2015","Oromiya","South West Shewa","Coffee",39984,258.28,1490.65,5.77
"2016","Oromiya","South West Shewa","Coffee",57688,2695.89,21664.68,4.5
"2007","Oromiya ","South West Shewa","Coffee",16332,160.46,1091.14,6.8
"2009","Oromiya ","South West Shewa","Coffee",31840,333.38,1873.59,5.62
"2007","Amhara","South wolo","Coffee",53896,676.57,3761.72,5.56
"2008","Amhara","South wolo","Coffee",43381,0,0,0
"2005","Amhara","South Wolo","Coffee",48702,805,3263,4.06
"2006","Amhara","South Wolo","Coffee",35714,668.43,3342.29,5
"2009","Amhara","South Wolo","Coffee",42884,979.03,4454.6,4.55
"2011","Amhara","South Wolo","Coffee",77343,0,0,0
"2012","Amhara","South Wolo","Coffee",90227,2693.39,12497.35,4.64
"2013","Amhara","South Wolo","Coffee",94622,2123.46,0,0
"2014","Amhara","South Wolo","Coffee",78081,1446.92,8728.83,6.03
"2015","Amhara","South Wolo","Coffee",79387,1786.39,10579.77,5.92
"2016","Amhara","South Wolo","Coffee",87200,2065.4,10032.12,4.86
"2006","Amhara","Wag Himra","Coffee",890,1.33,2.25,1.69
"2011","Amhara","Wag Himra","Coffee",1179,0,0,0
"2012","Amhara","Wag Himra","Coffee",1494,0,0,0
"2013","Amhara","Wag Himra","Coffee",1195,0,0,0
"2014","Amhara","Wag Himra","Coffee",64318,1388.89,2795.95,2.01
"2015","Amhara","Wag Himra","Coffee",1792,0,0,0
"2005","Amhara","West Gojjam","Coffee",29677,1133,816,0.72
"2006","Amhara","West Gojjam","Coffee",38621,1785.81,12679.23,7.1
"2007","Amhara","West Gojjam","Coffee",35125,1825.56,12231.28,6.7
"2008","Amhara","West Gojjam","Coffee",40987,1421.62,5416.39,3.81
"2009","Amhara","West Gojjam","Coffee",38202,0,0,0
"2011","Amhara","West Gojjam","Coffee",45128,0,0,0
"2012","Amhara","West Gojjam","Coffee",47765,0,0,0
"2013","Amhara","West Gojjam","Coffee",57050,0,0,0
"2014","Amhara","West Gojjam","Coffee",68971,0,0,0
"2015","Amhara","West Gojjam","Coffee",91665,0,9568.64,0
"2016","Amhara","West Gojjam","Coffee",88855,0,0,0
"2005","Oromiya","West Hararge","Coffee",114902,12209,24662,2.02
"2006","Oromiya","West Hararge","Coffee",123332,14361.85,136437.65,9.5
"2007","Oromiya","West Hararge","Coffee",138513,13966.23,140081.32,10.03
"2008","Oromiya","West Hararge","Coffee",139198,15056.17,77087.59,5.12
"2011","Oromiya","West Hararge","Coffee",145738,17821.68,93207.37,5.23
"2012","Oromiya","West Hararge","Coffee",132552,14880.84,77826.77,5.23
"2013","Oromiya","West Hararge","Coffee",120542,13303.87,157510.64,11.84
"2014","Oromiya","West Hararge","Coffee",125660,14169.87,116003.51,8.19
"2015","Oromiya","West Hararge","Coffee",134458,15154.19,124305.94,8.2
"2016","Oromiya","West Hararge","Coffee",109596,13002.28,95130.65,7.32
"2005","Oromiya","West Shewa","Coffee",15191,0,0,0
"2006","Oromiya","West Shewa","Coffee",18359,157.48,0,0
"2008","Oromiya","West Shewa","Coffee",26628,363.63,2043.59,5.62
"2011","Oromiya","West Shewa","Coffee",13252,0,0,0
"2012","Oromiya","West Shewa","Coffee",27040,0,0,0
"2013","Oromiya","West Shewa","Coffee",21640,0,0,0
"2014","Oromiya","West Shewa","Coffee",20479,0,0,0
"2015","Oromiya","West Shewa","Coffee",31554,0,0,0
"2016","Oromiya","West Shewa","Coffee",25157,0,0,0
"2007","Oromiya ","West Shewa","Coffee",14845,283.67,0,0
"2005","Oromiya","West Wellega","Coffee",259037,64377,325103,5.05
"2006","Oromiya","West Wellega","Coffee",261629,54786.63,345155.66,6.3
"2008","Oromiya","West Wellega","Coffee",199299,56762.32,349655.89,6.16
"2011","Oromiya","West Wellega","Coffee",185583,53014.85,333463.38,6.29
"2012","Oromiya","West Wellega","Coffee",213345,69842.14,439307.09,6.29
"2013","Oromiya","West Wellega","Coffee",214248,68923.39,143398.75,2.08
"2014","Oromiya","West Wellega","Coffee",444560,141076.88,891841.3,12.64
"2015","Oromiya","West Wellega","Coffee",237924,75630.95,572010.67,7.56
"2016","Oromiya","West Wellega","Coffee",256097,73987.56,478990.68,6.47
"2007","Oromiya ","West Wellega","Coffee",169415,39127.67,365843.75,9.35
"2009","Oromiya ","West Wellega","Coffee",217547,65578.35,403962.65,6.16
"2005","Tigray","Western Tigray","Coffee",1091,0,0,0
"2006","Tigray","Western Tigray","Coffee",1047,12.2,0,0
"2007","Tigray","Western Tigray","Coffee",999,10.08,0,0
"2014","Tigray","Western Tigray","Coffee",1646,0,0,0
"2015","Tigray","Western Tigray","Coffee",814,0,0,0
"2016","Tigray","Western Tigray","Coffee",1411,0,0,0
"2005","SNNP","Wolayita","Coffee",181939,5196,32966,6.34
"2006","SNNP","Wolayita","Coffee",192438,5969.75,48355,8.1
"2007","SNNP","Wolayita","Coffee",186471,5557.96,48687.72,8.76
"2008","SNNP","Wolayita","Coffee",211833,6161.71,44241.11,7.18
"2009","SNNP","Wolayita","Coffee",150629,4511.17,32390.22,7.18
"2011","SNNP","Wolayita","Coffee",253312,8250.31,69550.04,8.43
"2012","SNNP","Wolayita","Coffee",255789,6960,58672.83,8.43
"2013","SNNP","Wolayita","Coffee",277963,7737.64,65608.34,8.48
"2014","SNNP","Wolayita","Coffee",289310,7820.21,67985.36,8.69
"2015","SNNP","Wolayita","Coffee",359953,9198.46,62686.81,6.81
"2016","SNNP","Wolayita","Coffee",377594,9808.24,49045.87,5
"2005","SNNP","YEM","Coffee",6526,182,1332,7.31
"2006","SNNP","YEM","Coffee",7258,224.39,987.32,4.4
"2007","SNNP","YEM","Coffee",7365,212.09,784.72,3.7
"2008","SNNP","YEM","Coffee",9272,248.8,1492.82,6
"2011","SNNP","YEM","Coffee",12253,460.09,3239.03,7.04
"2012","SNNP","YEM","Coffee",13687,373.82,2631.71,7.04
"2013","SNNP","YEM","Coffee",15584,396.45,1626.98,4.1
"2014","SNNP","YEM","Coffee",14230,342.06,1399.08,4.09
"2015","SNNP","YEM","Coffee",13960,327.04,1818.69,5.56
"2016","SNNP","YEM","Coffee",15186,358.88,1751.5,4.88
"2006","Afar","Zone  03","Coffee",407,2.41,0,0
"2009","SNNP","Alaba","Enset",10078,67.29,768.77,11.42
"2011","SNNP","Alaba","Enset",12343,75.15,987.3,13.14
"2012","SNNP","Alaba","Enset",11827,72.72,955.38,13.14
"2011","SNNP","Amaro ","Enset",48056,3945.79,82009.29,20.78
"2012","SNNP","Amaro ","Enset",37755,4035.37,83871.09,20.78
"2011","Oromiya","Arsi","Enset",28710,268.56,7002.21,26.07
"2012","Oromiya","Arsi","Enset",16934,161.6,4213.38,26.07
"2009","SNNP","Basketo","Enset",7876,426.03,6709.16,15.75
"2011","SNNP","Basketo","Enset",15801,834.67,15115.92,18.11
"2012","SNNP","Basketo","Enset",16300,860.57,15584.84,18.11
"2011","Oromiya","Borena","Enset",81931,7084.49,149121.48,21.05
"2012","Oromiya","Borena","Enset",58205,6202.42,130554.71,21.05
"2011","SNNP","Burji","Enset",3755,288.65,2459.85,8.52
"2012","SNNP","Burji","Enset",3810,580,4942.74,8.52
"2009","SNNP","Dawuro","Enset",76318,7430.43,117014.48,15.75
"2011","SNNP","Dawuro","Enset",76863,7005.44,126868.49,18.11
"2012","SNNP","Dawuro","Enset",69685,8031.42,145449.06,18.11
"2011","SNNP","Derashe ","Enset",8547,0,0,0
"2012","SNNP","Derashe ","Enset",10291,350.87,6354.18,18.11
"2012","Oromiya","East Shewa","Enset",281138,0,0,0
"2011","Oromiya","Guji","Enset",181307,34014,660962.19,19.43
"2012","Oromiya","Guji","Enset",155180,32948.76,693538.52,21.05
"2009","Oromiya ","Guji","Enset",132643,22996.13,484045.63,21.05
"2011","SNNP","Gurage","Enset",277092,25272.82,106019.49,4.2
"2012","SNNP","Gurage","Enset",244505,24390.03,102316.2,4.2
"2011","Oromiya","Horo Gudru Wellega","Enset",2614,21.73,165.42,7.61
"2012","Oromiya","Horo Gudru Wellega","Enset",4495,0,0,0
"2011","Oromiya","Ilu Aba Bora","Enset",134792,2096.24,17646.11,8.42
"2012","Oromiya","Ilu Aba Bora","Enset",155681,2276.26,19161.57,8.42
"2009","Oromiya ","Ilu Aba Bora","Enset",140783,3005.74,25302.31,8.42
"2012","Oromiya","Jimma","Enset",485464,15691.99,323694.37,20.63
"2009","Oromiya ","Kelem","Enset",54661,391.04,2976.23,7.61
"2009","SNNP","Konta","Enset",19105,1034.68,18699.69,18.07
"2011","SNNP","Konta","Enset",30375,1564.38,32513.99,20.78
"2012","SNNP","Konta","Enset",27583,1593.93,33128.2,20.78
"2011","Benishangul Gumuz","Maokomo ","Enset",773,3.56,0,0
"2012","Benishangul Gumuz","Maokomo ","Enset",1480,6.81,0,0
"2011","Gambella","Mejenger","Enset",8744,397.29,7029.67,17.69
"2012","Gambella","Mejenger","Enset",8817,382.82,6773.64,17.69
"2011","Oromiya","North Shewa","Enset",4271,0,0,0
"2012","Oromiya","North Shewa","Enset",13288,0,0,0
"2011","Oromiya","Qeleme Wellega","Enset",44816,346.21,2635.02,7.61
"2012","Oromiya","Qeleme Wellega","Enset",55917,535.8,4077.98,7.61
"2012","SNNP","Sidama","Enset",796813,76304.6,2888510.44,37.85
"2009","SNNP","Siliti","Enset",106677,8403.87,30657.33,3.65
"2009","Oromiya ","South West Shewa","Enset",128087,10890.1,82884.54,7.61
"2011","Oromiya","West Arsi","Enset",154214,15861.88,413566.7,26.07
"2012","Oromiya","West Arsi","Enset",185573,20701.31,539745.15,26.07
"2009","Oromiya ","West Arsi","Enset",143652,13761.49,358803.29,26.07
"2011","Oromiya","West Shewa","Enset",133360,3200.41,26899.48,8.41
"2012","Oromiya","West Shewa","Enset",174067,3659,30758.53,8.41
"2011","Oromiya","West Wellega","Enset",15771,77.01,586.1,7.61
"2012","Oromiya","West Wellega","Enset",18644,109.22,831.24,7.61
"2009","Oromiya ","West Wellega","Enset",19642,154.01,1172.14,7.61
"2009","SNNP","Wolayita","Enset",176597,6568.16,75034.62,11.42
"2012","SNNP","YEM","Enset",18892,1755.32,18532.7,10.56
"2018","","","Fruit Crops",8768925,104421.81,7774306.93,524.98
"2018","Dire Dawa","","Fruit Crops",592,0.78,0,0
"2018","Gambella","","Fruit Crops",1237,4.61,0,0
"2008","Gambella","Agnuwak","Fruit Crops",4376,18.75,0,0
"2009","Gambella","Agnuwak","Fruit Crops",1301,15.19,0,0
"2011","Gambella","Agnuwak","Fruit Crops",7453,84.39,0,0
"2012","Gambella","Agnuwak","Fruit Crops",10317,86.66,0,0
"2013","Gambella","Agnuwak","Fruit Crops",13211,53.38,0,0
"2014","Gambella","Agnuwak","Fruit Crops",6271,52.05,0,0
"2015","Gambella","Agnuwak","Fruit Crops",6271,52.05,0,0
"2016","Gambella","Agnuwak","Fruit Crops",7255,68.28,0,0
"2005","SNNP","Alaba","Fruit Crops",7674,28,1161,109.99
"2006","SNNP","Alaba","Fruit Crops",11127,32.69,940.42,105.34
"2007","SNNP","Alaba","Fruit Crops",13116,27.87,1290.85,121.89
"2008","SNNP","Alaba","Fruit Crops",12331,57.07,2558.23,111.79
"2009","SNNP","Alaba","Fruit Crops",10900,41.35,2156.78,111.81
"2011","SNNP","Alaba","Fruit Crops",9638,38.6,2613,220.59
"2012","SNNP","Alaba","Fruit Crops",15323,52.63,3502.01,220.63
"2013","SNNP","Alaba","Fruit Crops",12370,43.84,2440.32,66.17
"2014","SNNP","Alaba","Fruit Crops",16541,40.58,2267.69,162.47
"2015","SNNP","Alaba","Fruit Crops",16855,56.03,4079.67,201.06
"2016","SNNP","Alaba","Fruit Crops",12423,69.4,5297.95,152.08
"2008","SNNP","Amaro","Fruit Crops",28738,317.68,24442.65,601.7
"2009","SNNP","Amaro","Fruit Crops",1794,0,0,0
"2005","SNNP","Amaro ","Fruit Crops",9373,110,3084,86.27
"2006","SNNP","Amaro ","Fruit Crops",16031,229.34,31775.33,941.13
"2007","SNNP","Amaro ","Fruit Crops",14165,212,24160.55,848.05
"2011","SNNP","Amaro ","Fruit Crops",26213,248.33,19169.55,180.86
"2012","SNNP","Amaro ","Fruit Crops",48800,652.38,54948.37,303.57
"2008","Amhara","Argoba","Fruit Crops",1288,6.05,158.93,54.59
"2009","Amhara","Argoba","Fruit Crops",347,0,0,0
"2011","Amhara","Argoba ","Fruit Crops",365,1.07,46.55,43.5
"2012","Amhara","Argoba ","Fruit Crops",1499,1.41,25.9,18.37
"2013","Amhara","Argoba ","Fruit Crops",909,0.92,20.25,52.77
"2014","Amhara","Argoba ","Fruit Crops",1079,3.34,129.69,209.7
"2015","Amhara","Argoba ","Fruit Crops",1574,4.49,214.96,214.65
"2016","Amhara","Argoba ","Fruit Crops",2346,7.36,299.66,206.35
"2005","Oromiya","Arsi","Fruit Crops",10225,0,0,0
"2006","Oromiya","Arsi","Fruit Crops",59440,540.62,135604.02,670.99
"2008","Oromiya","Arsi","Fruit Crops",49218,316.17,41459.46,131.13
"2011","Oromiya","Arsi","Fruit Crops",10270,0,0,0
"2012","Oromiya","Arsi","Fruit Crops",11434,429.55,21541.88,50.15
"2013","Oromiya","Arsi","Fruit Crops",17862,0,0,0
"2014","Oromiya","Arsi","Fruit Crops",32566,275.08,9575.09,34.81
"2015","Oromiya","Arsi","Fruit Crops",19637,267.45,9011.43,33.69
"2016","Oromiya","Arsi","Fruit Crops",24925,425.73,12771.11,30
"2007","Oromiya ","Arsi","Fruit Crops",46391,143.61,5632.2,39.22
"2005","Benishangul Gumuz","Assosa","Fruit Crops",45399,677,52405,309.59
"2006","Benishangul Gumuz","Assosa","Fruit Crops",47928,652.61,65409.14,899.34
"2007","Benishangul Gumuz","Assosa","Fruit Crops",59435,836.07,80594.54,976.92
"2008","Benishangul Gumuz","Assosa","Fruit Crops",62789,657.13,60215.35,470.4
"2009","Benishangul Gumuz","Assosa","Fruit Crops",767,1.59,22.26,14
"2011","Benishangul Gumuz","Assosa","Fruit Crops",85088,702.63,67581.16,526.07
"2012","Benishangul Gumuz","Assosa","Fruit Crops",89654,835.51,79873.36,476.72
"2013","Benishangul Gumuz","Assosa","Fruit Crops",71497,683.7,66444.09,430.16
"2014","Benishangul Gumuz","Assosa","Fruit Crops",67548,705.52,68384.89,363.43
"2015","Benishangul Gumuz","Assosa","Fruit Crops",95308,1100.9,102057.99,373.98
"2016","Benishangul Gumuz","Assosa","Fruit Crops",100185,1087.55,98254.31,422.06
"2005","Amhara","Awi","Fruit Crops",24465,17,0,0
"2006","Amhara","Awi","Fruit Crops",45747,408.71,24181.64,680.49
"2007","Amhara","Awi","Fruit Crops",30362,20.68,4036.84,195.21
"2008","Amhara","Awi","Fruit Crops",12730,0,0,0
"2009","Amhara","Awi","Fruit Crops",15365,47.39,2912.75,263.12
"2011","Amhara","Awi","Fruit Crops",19436,33.93,3481.86,349.42
"2012","Amhara","Awi","Fruit Crops",34018,76.67,5325.41,349.54
"2013","Amhara","Awi","Fruit Crops",29310,60.27,1828.56,61.13
"2014","Amhara","Awi","Fruit Crops",48955,109.11,3363.42,159.15
"2015","Amhara","Awi","Fruit Crops",82218,325.53,10950.6,69.74
"2016","Amhara","Awi","Fruit Crops",110418,294.43,11157.13,206.02
"2005","Oromiya","Bale","Fruit Crops",47596,1134,63281,55.78
"2006","Oromiya","Bale","Fruit Crops",11530,312.06,100330.58,843.54
"2007","Oromiya","Bale","Fruit Crops",15994,427.52,31251.91,73.1
"2008","Oromiya","Bale","Fruit Crops",55821,699.66,79170.38,172.32
"2011","Oromiya","Bale","Fruit Crops",40034,1145,99552.95,288.18
"2012","Oromiya","Bale","Fruit Crops",27944,252.41,6837.69,27.09
"2013","Oromiya","Bale","Fruit Crops",29185,499.54,29678.07,80.62
"2014","Oromiya","Bale","Fruit Crops",37648,1246.39,59466.01,92.35
"2015","Oromiya","Bale","Fruit Crops",51176,1392.91,113749.45,329.47
"2016","Oromiya","Bale","Fruit Crops",51212,1643.74,108450.82,127.92
"2005","SNNP","Basketo","Fruit Crops",8943,89,0,0
"2006","SNNP","Basketo","Fruit Crops",10433,95.93,9779.23,232.19
"2007","SNNP","Basketo","Fruit Crops",17139,132.5,11098.96,200.93
"2008","SNNP","Basketo","Fruit Crops",22392,166.84,14074.17,216.52
"2009","SNNP","Basketo","Fruit Crops",11768,89.37,7537.49,216.52
"2011","SNNP","Basketo","Fruit Crops",14692,180.85,21206.36,342.68
"2012","SNNP","Basketo","Fruit Crops",26227,254.23,29180.21,683.15
"2013","SNNP","Basketo","Fruit Crops",30598,282.33,32328.98,568.12
"2014","SNNP","Basketo","Fruit Crops",28269,293.26,32157.7,490.81
"2015","SNNP","Basketo","Fruit Crops",28840,307.18,33513.65,523.57
"2016","SNNP","Basketo","Fruit Crops",30586,384.75,39281.26,538.06
"2005","SNNP","Bench Maji","Fruit Crops",86949,1243,112871,345.21
"2006","SNNP","Bench Maji","Fruit Crops",85353,1158.1,55581.29,596.08
"2007","SNNP","Bench Maji","Fruit Crops",95310,1248.78,92794.28,676.1
"2008","SNNP","Bench Maji","Fruit Crops",112459,1367.19,114401.37,604.85
"2009","SNNP","Bench Maji","Fruit Crops",628,0,0,0
"2011","SNNP","Bench Maji","Fruit Crops",140571,1355.23,138708.43,665.23
"2012","SNNP","Bench Maji","Fruit Crops",114948,1483.48,58659.71,645.88
"2013","SNNP","Bench Maji","Fruit Crops",146031,1989.98,184520.75,688.4
"2014","SNNP","Bench Maji","Fruit Crops",146156,1889.63,176394.02,622.45
"2015","SNNP","Bench Maji","Fruit Crops",169858,2100.12,200590,700.26
"2016","SNNP","Bench Maji","Fruit Crops",203389,2819.08,283225.51,717.35
"2005","Oromiya","Borena","Fruit Crops",34992,634,21860,34.49
"2006","Oromiya","Borena","Fruit Crops",47375,946.96,49169.99,412.36
"2007","Oromiya","Borena","Fruit Crops",51388,954.36,54667.14,129.82
"2008","Oromiya","Borena","Fruit Crops",51707,1243.86,55757.79,102.97
"2011","Oromiya","Borena","Fruit Crops",39252,636.52,29378.4,108.95
"2012","Oromiya","Borena","Fruit Crops",30272,977.48,46635.98,108.95
"2013","Oromiya","Borena","Fruit Crops",33619,670.24,25971.91,48.14
"2014","Oromiya","Borena","Fruit Crops",24254,897.17,29128,39.15
"2015","Oromiya","Borena","Fruit Crops",35221,757.67,27065.96,43.34
"2016","Oromiya","Borena","Fruit Crops",25733,812.65,24704.56,36.12
"2005","SNNP","Burji","Fruit Crops",4347,29,704,86.88
"2006","SNNP","Burji","Fruit Crops",6202,34.05,1105.72,69.81
"2007","SNNP","Burji","Fruit Crops",6702,22.43,722.55,51.98
"2008","SNNP","Burji","Fruit Crops",6957,29.08,1101.07,84.15
"2009","SNNP","Burji","Fruit Crops",1510,5.89,35.52,16.31
"2011","SNNP","Burji","Fruit Crops",5332,42.18,2344.92,195.08
"2012","SNNP","Burji","Fruit Crops",9254,52.7,2532.43,127.13
"2005","Tigray","Central Tigray","Fruit Crops",5589,1,0,0
"2006","Tigray","Central Tigray","Fruit Crops",10137,45.85,0,0
"2007","Tigray","Central Tigray","Fruit Crops",18714,20.64,0,0
"2008","Tigray","Central Tigray","Fruit Crops",14840,67.9,0,0
"2009","Tigray","Central Tigray","Fruit Crops",12584,0,0,0
"2011","Tigray","Central Tigray","Fruit Crops",6579,36,1398.16,38.84
"2012","Tigray","Central Tigray","Fruit Crops",10730,30.61,127.65,4.17
"2013","Tigray","Central Tigray","Fruit Crops",8416,0,0,0
"2014","Tigray","Central Tigray","Fruit Crops",27328,35.38,582.65,16.47
